
--Louvian's Community Detection Algorithm --

--# of Communities detected = 0

--Modularity of network = 0.820987
NodeId 	 ClusterId
4329	3
4335	3
550	3
623	3
1847	3
906	3
1017	3
2004	3
8314	3
997	3
998	3
999	3
1602	3
56114	3
2583	3
1466	3
79812	3
79818	3
199596	3
64751	3
150598	3
168232	3
168233	3
1992	3
10916	3
31019	3
39984	3
50844	3
81435	3
107316	3
133015	3
133016	3
144752	3
212792	3
150944	3
98270	3
107625	3
143427	3
11918	3
12002	3
3080	3
30184	3
30892	3
59821	3
293014	3
53957	3
62788	3
68634	3
104219	3
136947	3
146089	3
162553	3
163622	3
237924	3
232829	3
3831	3
5000	3
9129	3
9184	3
37219	3
46500	3
74600	3
83050	3
95093	3
106023	3
106759	3
106938	3
113813	3
113814	3
122017	3
5620	3
33312	3
5703	3
73979	3
113629	3
30870	3
34256	3
41454	3
54677	3
135529	3
172133	3
193851	3
193852	3
222195	3
237919	3
237920	3
237923	3
246759	3
38612	3
53047	3
101429	3
65206	3
130401	3
190105	3
58976	3
154817	3
171169	3
184027	3
187736	3
214882	3
229921	3
246375	3
282375	3
361044	3
42410	3
15933	3
113745	3
44528	3
9489	3
19506	3
37573	3
47875	3
56903	3
64473	3
105574	3
112290	3
146327	3
69293	3
99393	3
9490	3
33957	3
48638	3
104766	3
134992	3
135528	3
211749	3
216765	3
17344	3
53048	3
57791	3
60475	3
116765	3
148037	3
172703	3
219841	3
237916	3
237917	3
245884	3
303325	3
239449	3
219893	3
175444	3
274840	3
276907	3
387812	3
48041	3
191425	3
88092	3
76219	3
165457	3
66638	3
84223	3
130304	3
130305	3
366931	3
52224	3
152100	3
294975	3
266401	3
63635	3
71072	3
107756	3
377355	3
163628	3
184406	3
302923	3
75853	3
97881	3
93327	3
112876	3
149779	3
176360	3
275312	3
121644	3
263474	3
112289	3
149892	3
152058	3
168058	3
209792	3
209793	3
234741	3
302921	3
302922	3
196233	3
174187	3
85389	3
147313	3
52225	3
55174	3
106760	3
120122	3
150184	3
150185	3
153797	3
272283	3
283368	3
304079	3
304080	3
324137	3
324138	3
375204	3
415141	3
360588	3
190165	3
244516	3
266987	3
333341	3
375240	3
196008	3
261348	3
164865	3
247710	3
353983	3
142139	3
72100	3
103455	3
287868	3
240387	3
332505	3
332506	3
358920	3
341356	3
285298	3
174599	3
261925	3
297304	3
315201	3
399829	3
373803	3
240388	3
270082	3
392191	3
333360	3
333361	3
333362	3
333363	3
336386	3
336387	3
209756	3
239999	3
268524	3
268525	3
336288	3
347885	3
350243	3
218282	3
375377	3
344981	3
345155	3
349827	3
212288	3
239150	3
248767	3
317931	3
362410	3
356972	3
176488	3
346997	3
395829	3
419267	3
301594	3
232011	3
242199	3
318315	3
308258	3
331142	3
220199	3
237925	3
266327	3
390962	3
402001	3
425251	3
344636	3
355556	3
3723	3
12644	3
27747	3
78445	3
79942	3
79943	3
81941	3
146759	3
154552	3
3757	3
183480	3
183481	3
184130	3
208429	3
62827	3
77852	3
188344	3
230851	3
62703	3
77853	3
394867	3
144398	3
177651	3
207121	3
207122	3
207123	3
217625	3
243141	3
259099	3
244891	3
259097	3
259098	3
259100	3
259101	3
259102	3
259103	3
377261	3
198467	3
344480	3
375198	3
38502	3
38503	3
38504	3
65748	3
210014	3
212291	3
219241	3
41772	3
344922	3
118825	3
152616	3
113849	3
117879	3
35691	3
35692	3
90658	3
95640	3
21984	3
22927	3
63466	3
60810	3
63198	3
5910	3
5912	3
17742	3
22951	3
71504	3
6615	3
2914	3
3508	3
31489	3
39932	3
45980	3
6656	3
6726	3
6727	3
9040	3
134982	3
162225	3
200328	3
6778	3
141157	3
129332	3
132806	3
132950	3
142145	3
158768	3
240486	3
192541	3
17499	3
86835	3
90598	3
90712	3
90713	3
51024	3
173513	3
173514	3
6892	3
6905	3
39541	3
7143	3
16175	3
9103	3
11464	3
11626	3
45149	3
45150	3
50008	3
19303	3
251136	3
361683	3
90873	3
27903	3
7201	3
16619	3
20794	3
25580	3
27960	3
42161	3
47066	3
60753	3
62889	3
70078	3
73611	3
84244	3
93898	3
94495	3
99955	3
103045	3
119623	3
119702	3
141960	3
163895	3
180256	3
193668	3
193669	3
350430	3
97933	3
113028	3
309778	3
52476	3
80600	3
170122	3
235436	3
315768	3
421782	3
80012	3
97998	3
74923	3
111018	3
277036	3
90893	3
121440	3
89858	3
100421	3
206981	3
208719	3
250121	3
142188	3
182677	3
274443	3
306640	3
19954	3
21997	3
188768	3
14987	3
10151	3
12659	3
23717	3
24373	3
25997	3
16909	3
64035	3
209606	3
131160	3
185811	3
175186	3
185009	3
207622	3
83574	3
194567	3
194568	3
8218	3
20579	3
43443	3
94965	3
38806	3
8326	3
22161	3
9284	3
73635	3
113877	3
147741	3
293206	3
199187	3
302820	3
302821	3
339690	3
250204	3
295825	3
233713	3
206120	3
216298	3
225569	3
51282	3
51283	3
51284	3
66660	3
66661	3
8954	3
8919	3
8920	3
9036	3
8956	3
250621	3
312398	3
225738	3
358005	3
9328	3
46386	3
103035	3
163300	3
163301	3
163354	3
169398	3
218780	3
103034	3
364535	3
35009	3
35008	3
35010	3
37883	3
38787	3
33474	3
94099	3
117614	3
117615	3
139377	3
194888	3
195448	3
310787	3
302948	3
310788	3
9481	3
49919	3
9445	3
9792	3
15991	3
9860	3
34652	3
70705	3
92858	3
92859	3
10424	3
15985	3
79857	3
79858	3
79859	3
79860	3
11262	3
102915	3
132764	3
132028	3
304402	3
11642	3
11643	3
295810	3
30796	3
69223	3
83364	3
49688	3
310161	3
11677	3
168429	3
326532	3
326533	3
376087	3
23150	3
26944	3
26945	3
30599	3
30598	3
30600	3
20337	3
73198	3
173305	3
173306	3
414634	3
78813	3
24068	3
49918	3
113290	3
113291	3
147008	3
173307	3
60366	3
61606	3
179700	3
163180	3
180386	3
13831	3
30601	3
37832	3
46551	3
46552	3
49798	3
56997	3
69319	3
166979	3
172198	3
70738	3
81754	3
230448	3
250141	3
315249	3
46229	3
31757	3
35556	3
64952	3
14196	3
33930	3
59572	3
61371	3
69202	3
83987	3
151195	3
14342	3
18841	3
67161	3
230782	3
244928	3
14968	3
16934	3
16935	3
16936	3
113633	3
113634	3
79891	3
137750	3
79605	3
15267	3
36536	3
100557	3
253437	3
14903	3
15789	3
100837	3
104426	3
137223	3
36888	3
80522	3
80523	3
85031	3
14893	3
16432	3
334853	3
353629	3
4108	3
16544	3
16686	3
20377	3
90195	3
153842	3
311412	3
344538	3
373241	3
321581	3
90196	3
173195	3
244757	3
244758	3
17318	3
162729	3
151881	3
151882	3
191281	3
288256	3
389433	3
401595	3
84332	3
146119	3
17588	3
20868	3
29731	3
52425	3
52648	3
53310	3
60425	3
377383	3
377384	3
420067	3
301851	3
303863	3
308376	3
417663	3
417664	3
284424	3
306293	3
68000	3
227082	3
424021	3
112670	3
18670	3
18671	3
75497	3
397591	3
424546	3
424970	3
42014	3
50950	3
93510	3
97751	3
324362	3
324363	3
365439	3
128934	3
128935	3
128936	3
360757	3
266440	3
268092	3
19149	3
226294	3
236645	3
236646	3
246133	3
91647	3
96174	3
416726	3
417324	3
21868	3
150751	3
165633	3
234820	3
234821	3
234822	3
106889	3
311324	3
374079	3
423018	3
367753	3
399317	3
282960	3
101196	3
101197	3
211811	3
222968	3
332713	3
344010	3
19876	3
189898	3
189899	3
189900	3
199863	3
233630	3
367796	3
323352	3
424574	3
214689	3
302907	3
336741	3
390745	3
20316	3
61389	3
114466	3
168019	3
112841	3
379343	3
310544	3
38162	3
76067	3
78719	3
20765	3
77102	3
143399	3
168015	3
186569	3
173889	3
20814	3
174288	3
173130	3
20969	3
152159	3
21137	3
88771	3
88772	3
29098	3
36472	3
37372	3
56228	3
100680	3
391278	3
311556	3
311557	3
93918	3
186184	3
21327	3
7016	3
7607	3
7167	3
9605	3
10770	3
36018	3
26756	3
122227	3
51716	3
59966	3
54126	3
91572	3
119282	3
292313	3
376519	3
376520	3
21717	3
165969	3
173594	3
173593	3
178600	3
209847	3
385509	3
76676	3
238486	3
332673	3
278008	3
165967	3
165968	3
198955	3
235426	3
235427	3
297036	3
297037	3
334174	3
334175	3
370858	3
376199	3
376200	3
403430	3
413506	3
423501	3
414514	3
414515	3
35352	3
35353	3
82256	3
85441	3
93074	3
106486	3
154434	3
22207	3
93073	3
92392	3
122996	3
136379	3
155955	3
158497	3
158498	3
168886	3
248180	3
276340	3
277512	3
313291	3
274572	3
244410	3
254566	3
18042	3
8468	3
55533	3
56829	3
22554	3
128384	3
34936	3
75932	3
80599	3
199241	3
230611	3
23151	3
28680	3
47185	3
48772	3
123559	3
229518	3
311820	3
23358	3
66376	3
70442	3
70443	3
107015	3
23505	3
88310	3
303570	3
163328	3
259188	3
70953	3
50103	3
114550	3
69912	3
150253	3
161434	3
286156	3
103665	3
23586	3
55818	3
168912	3
168913	3
204830	3
204831	3
23703	3
261311	3
35385	3
126694	3
247149	3
21768	3
23852	3
55739	3
144381	3
184041	3
254888	3
271701	3
24230	3
22798	3
46496	3
60526	3
28614	3
47840	3
47841	3
47842	3
49160	3
139523	3
25182	3
24231	3
32895	3
115393	3
24354	3
151435	3
190731	3
213913	3
299544	3
377948	3
24503	3
8340	3
119093	3
119094	3
119920	3
119921	3
38410	3
300153	3
364152	3
24573	3
24574	3
61081	3
69617	3
220483	3
51566	3
56939	3
111998	3
111999	3
112000	3
112001	3
125384	3
240646	3
240905	3
25420	3
39746	3
39748	3
39745	3
39747	3
379772	3
379773	3
132552	3
132553	3
137866	3
96072	3
220624	3
220625	3
44222	3
46572	3
180858	3
180859	3
26608	3
324231	3
324232	3
324233	3
339811	3
376385	3
412021	3
415048	3
26714	3
188716	3
188717	3
188718	3
332153	3
332154	3
332155	3
160773	3
350625	3
380523	3
379204	3
27593	3
82096	3
85039	3
112255	3
203147	3
338054	3
398350	3
27778	3
177382	3
160538	3
216510	3
222603	3
223673	3
337571	3
87193	3
87194	3
87195	3
87196	3
40239	3
45295	3
28441	3
31621	3
151219	3
203086	3
229984	3
358535	3
28776	3
156852	3
385024	3
199530	3
275855	3
280897	3
285512	3
264670	3
352915	3
352916	3
259007	3
28954	3
50524	3
43001	3
158852	3
29083	3
54036	3
107685	3
141074	3
225855	3
225747	3
79861	3
81948	3
27311	3
75854	3
55065	3
29439	3
49957	3
84453	3
125889	3
184673	3
57230	3
283376	3
389732	3
389733	3
59845	3
96842	3
96843	3
103265	3
216658	3
222481	3
281435	3
283121	3
148261	3
159022	3
49486	3
30730	3
296984	3
296986	3
30850	3
133597	3
133598	3
133599	3
133917	3
139225	3
207623	3
352881	3
401480	3
160400	3
121390	3
201433	3
269741	3
274989	3
274990	3
301504	3
354239	3
135295	3
32305	3
215729	3
301198	3
346241	3
215730	3
144967	3
301199	3
309022	3
399881	3
312382	3
313224	3
338392	3
272258	3
272259	3
32848	3
180036	3
320549	3
320550	3
3592	3
5480	3
28881	3
99375	3
99376	3
99377	3
102083	3
102084	3
102085	3
110996	3
255603	3
327979	3
369307	3
398307	3
31135	3
147482	3
185182	3
325363	3
325367	3
32874	3
131281	3
26667	3
116881	3
133402	3
133591	3
133594	3
134160	3
207712	3
207713	3
209721	3
216268	3
252224	3
144617	3
177991	3
360063	3
366560	3
42467	3
112790	3
321336	3
32894	3
67128	3
117235	3
117236	3
33497	3
33113	3
82654	3
108744	3
206148	3
206149	3
33978	3
62488	3
71485	3
377802	3
38087	3
87524	3
254618	3
261245	3
284742	3
34937	3
54383	3
43274	3
45826	3
59975	3
78607	3
35093	3
35094	3
143762	3
144837	3
400312	3
130218	3
130219	3
158186	3
161859	3
411328	3
411329	3
113988	3
113989	3
37026	3
37027	3
78707	3
193158	3
35670	3
215519	3
215520	3
242798	3
163687	3
271619	3
315391	3
186299	3
186300	3
138490	3
143707	3
35814	3
63083	3
195673	3
212726	3
227044	3
309798	3
36058	3
130903	3
120035	3
170585	3
239877	3
383853	3
36442	3
212607	3
62940	3
62007	3
91497	3
121404	3
131430	3
139467	3
274629	3
282502	3
292933	3
272399	3
267636	3
342782	3
